,Score,Scaling Parameter,Problem Idx,Model,Benchmark,Log Score,Neg Log Score,Num. Samples Total,Num. Samples Correct
64640,0.015400000000000191,1,0,Pythia 6.9B,MATH,-4.173387769562541,4.173387769562541,10000,154.0000000000019
64641,0.00759999999999994,1,1,Pythia 6.9B,MATH,-4.87960703168986,4.87960703168986,10000,75.9999999999994
64642,0.010899999999999799,1,2,Pythia 6.9B,MATH,-4.518992489747058,4.518992489747058,10000,108.99999999999798
64643,0.000300000000000078,1,3,Pythia 6.9B,MATH,-8.111728083307813,8.111728083307813,10000,3.00000000000078
64644,0.23189999999999866,1,4,Pythia 6.9B,MATH,-1.4614490347206568,1.4614490347206568,10000,2318.999999999987
64645,0.0028000000000001357,1,5,Pythia 6.9B,MATH,-5.8781358618009305,5.8781358618009305,10000,28.000000000001357
64646,0.007400000000000295,1,6,Pythia 6.9B,MATH,-4.9062752787719734,4.9062752787719734,10000,74.00000000000296
64647,0.009399999999999409,1,7,Pythia 6.9B,MATH,-4.667045589706242,4.667045589706242,10000,93.99999999999409
64648,0.08809999999999929,1,8,Pythia 6.9B,MATH,-2.4292827460400113,2.4292827460400113,10000,880.999999999993
64649,0.005699999999999816,1,9,Pythia 6.9B,MATH,-5.167289104141664,5.167289104141664,10000,56.99999999999817
64650,0.006199999999999761,1,10,Pythia 6.9B,MATH,-5.08320598693113,5.08320598693113,10000,61.99999999999761
64651,9.999999999998899e-05,1,11,Pythia 6.9B,MATH,-9.210340371976294,9.210340371976294,10000,0.9999999999998899
64652,0.04299999999999882,1,12,Pythia 6.9B,MATH,-3.146555163288602,3.146555163288602,10000,429.9999999999882
64653,0.0013999999999999568,1,13,Pythia 6.9B,MATH,-6.571283042360955,6.571283042360955,10000,13.999999999999568
64654,9.999999999998899e-05,1,14,Pythia 6.9B,MATH,-9.210340371976294,9.210340371976294,10000,0.9999999999998899
64655,0.0036999999999997035,1,15,Pythia 6.9B,MATH,-5.599422459332039,5.599422459332039,10000,36.99999999999704
64656,0.00019999999999997797,1,16,Pythia 6.9B,MATH,-8.517193191416348,8.517193191416348,10000,1.9999999999997797
64657,0.0,1,17,Pythia 6.9B,MATH,-inf,inf,10000,0.0
64658,0.02599999999999969,1,18,Pythia 6.9B,MATH,-3.649658740960667,3.649658740960667,10000,259.9999999999969
64659,0.0,1,19,Pythia 6.9B,MATH,-inf,inf,10000,0.0
64660,0.005499999999999727,1,20,Pythia 6.9B,MATH,-5.203007186743761,5.203007186743761,10000,54.99999999999727
64661,0.0,1,21,Pythia 6.9B,MATH,-inf,inf,10000,0.0
64662,0.0040999999999996595,1,22,Pythia 6.9B,MATH,-5.496768305271958,5.496768305271958,10000,40.9999999999966
64663,0.0009000000000001229,1,23,Pythia 6.9B,MATH,-7.013115794639827,7.013115794639827,10000,9.00000000000123
64664,0.0010999999999998789,1,24,Pythia 6.9B,MATH,-6.812445099177922,6.812445099177922,10000,10.999999999998789
64665,0.013299999999999979,1,25,Pythia 6.9B,MATH,-4.319991243754431,4.319991243754431,10000,132.99999999999977
64666,0.000300000000000078,1,26,Pythia 6.9B,MATH,-8.111728083307813,8.111728083307813,10000,3.00000000000078
64667,0.0,1,27,Pythia 6.9B,MATH,-inf,inf,10000,0.0
64668,0.007300000000000084,1,28,Pythia 6.9B,MATH,-4.91988093082778,4.91988093082778,10000,73.00000000000084
64669,0.0,1,29,Pythia 6.9B,MATH,-inf,inf,10000,0.0
64670,0.0029000000000001247,1,30,Pythia 6.9B,MATH,-5.8430445419896655,5.8430445419896655,10000,29.000000000001247
64671,0.0036999999999997035,1,31,Pythia 6.9B,MATH,-5.599422459332039,5.599422459332039,10000,36.99999999999704
64672,0.07180000000000042,1,32,Pythia 6.9B,MATH,-2.6338708029279525,2.6338708029279525,10000,718.0000000000042
64673,0.0,1,33,Pythia 6.9B,MATH,-inf,inf,10000,0.0
64674,0.0011999999999998678,1,34,Pythia 6.9B,MATH,-6.725433722188293,6.725433722188293,10000,11.999999999998678
64675,0.2427999999999989,1,35,Pythia 6.9B,MATH,-1.4155172197967985,1.4155172197967985,10000,2427.999999999989
64676,0.033199999999999785,1,36,Pythia 6.9B,MATH,-3.4052054030597008,3.4052054030597008,10000,331.99999999999784
64677,0.09690000000000043,1,37,Pythia 6.9B,MATH,-2.334075760085412,2.334075760085412,10000,969.0000000000043
64678,0.04899999999999849,1,38,Pythia 6.9B,MATH,-3.0159349808715414,3.0159349808715414,10000,489.9999999999849
64679,0.0036999999999997035,1,39,Pythia 6.9B,MATH,-5.599422459332039,5.599422459332039,10000,36.99999999999704
64680,0.005800000000000138,1,40,Pythia 6.9B,MATH,-5.14989736142974,5.14989736142974,10000,58.000000000001386
64681,0.0,1,41,Pythia 6.9B,MATH,-inf,inf,10000,0.0
64682,0.0,1,42,Pythia 6.9B,MATH,-inf,inf,10000,0.0
64683,0.009599999999999942,1,43,Pythia 6.9B,MATH,-4.645992180508353,4.645992180508353,10000,95.99999999999942
64684,0.013100000000000334,1,44,Pythia 6.9B,MATH,-4.335143048775006,4.335143048775006,10000,131.00000000000333
64685,0.0,1,45,Pythia 6.9B,MATH,-inf,inf,10000,0.0
64686,0.0038999999999997925,1,46,Pythia 6.9B,MATH,-5.54677872584659,5.54677872584659,10000,38.999999999997925
64687,0.005699999999999816,1,47,Pythia 6.9B,MATH,-5.167289104141664,5.167289104141664,10000,56.99999999999817
64688,0.02059999999999851,1,48,Pythia 6.9B,MATH,-3.882464203186674,3.882464203186674,10000,205.99999999998508
64689,0.021399999999998642,1,49,Pythia 6.9B,MATH,-3.8443643569543946,3.8443643569543946,10000,213.99999999998641
64690,0.019599999999999396,1,50,Pythia 6.9B,MATH,-3.9322257127456965,3.9322257127456965,10000,195.99999999999395
64691,9.999999999998899e-05,1,51,Pythia 6.9B,MATH,-9.210340371976294,9.210340371976294,10000,0.9999999999998899
64692,0.0009999999999996678,1,52,Pythia 6.9B,MATH,-6.907755278982469,6.907755278982469,10000,9.999999999996678
64693,0.00759999999999994,1,53,Pythia 6.9B,MATH,-4.87960703168986,4.87960703168986,10000,75.9999999999994
